,k,network_n,search_n,jumps
705,3,7,5,2
706,3,7,6,1
707,3,7,7,1
708,3,7,8,0
709,3,7,9,1
710,3,7,10,0
711,3,7,11,2
712,3,7,12,1
713,3,7,13,0
714,3,7,14,0
715,3,7,15,0
716,3,7,16,0
717,3,7,17,0
718,3,7,18,1
719,3,7,19,2
720,3,7,20,0
721,3,7,21,0
722,3,7,22,0
723,3,7,23,1
724,3,7,24,0
725,3,7,25,1
726,3,7,26,1
727,3,7,27,0
728,3,7,28,0
729,3,7,29,2
730,3,7,30,2
731,3,7,31,2
732,3,7,32,0
733,3,7,33,2
734,3,7,34,1
735,3,7,35,1
736,3,7,36,0
737,3,7,37,0
738,3,7,38,0
739,3,7,39,0
740,3,7,40,0
741,3,7,41,0
742,3,7,42,0
743,3,7,43,0
744,3,7,44,1
745,3,7,45,0
746,3,7,46,2
747,3,7,47,1
748,3,7,48,0
749,3,7,49,1
750,3,7,50,1
751,3,7,51,1
752,3,7,52,1
753,3,7,53,0
754,3,7,54,1
755,3,7,55,1
756,3,7,56,0
757,3,7,57,1
758,3,7,58,1
759,3,7,59,2
760,3,7,60,0
761,3,7,61,1
762,3,7,62,2
763,3,7,63,1
764,3,7,64,0
765,3,7,65,0
766,3,7,66,0
767,3,7,67,2
768,3,7,68,1
769,3,7,69,1
770,3,7,70,0
771,3,7,71,2
772,3,7,72,2
773,3,7,73,1
774,3,7,74,0
775,3,7,75,2
776,3,7,76,2
777,3,7,77,1
778,3,7,78,0
779,3,7,79,0
780,3,7,80,0
781,3,7,81,0
782,3,7,82,2
783,3,7,83,0
784,3,7,84,0
785,3,7,85,1
786,3,7,86,2
787,3,7,87,0
788,3,7,88,0
789,3,7,89,2
790,3,7,90,2
791,3,7,91,2
792,3,7,92,2
793,3,7,93,1
794,3,7,94,1
795,3,7,95,0
796,3,7,96,1
797,3,7,97,1
798,3,7,98,2
799,3,7,99,0
800,3,8,0,0
801,3,8,1,1
802,3,8,2,0
803,3,8,3,2
804,3,8,4,2
805,3,8,5,2
806,3,8,6,0
807,3,8,7,0
808,3,8,8,1
809,3,8,9,1
810,3,8,10,1
811,3,8,11,1
812,3,8,12,2
813,3,8,13,1
814,3,8,14,2
815,3,8,15,2
816,3,8,16,1
817,3,8,17,1
818,3,8,18,2
819,3,8,19,1
820,3,8,20,1
821,3,8,21,2
822,3,8,22,0
823,3,8,23,0
824,3,8,24,1
825,3,8,25,0
826,3,8,26,2
827,3,8,27,1
828,3,8,28,0
829,3,8,29,0
830,3,8,30,2
831,3,8,31,2
832,3,8,32,1
833,3,8,33,2
834,3,8,34,2
835,3,8,35,1
836,3,8,36,0
837,3,8,37,0
838,3,8,38,2
839,3,8,39,0
840,3,8,40,2
841,3,8,41,0
842,3,8,42,2
843,3,8,43,0
844,3,8,44,1
845,3,8,45,0
846,3,8,46,2
847,3,8,47,1
848,3,8,48,2
849,3,8,49,2
850,3,8,50,1
851,3,8,51,0
852,3,8,52,0
853,3,8,53,1
854,3,8,54,0
855,3,8,55,2
856,3,8,56,1
857,3,8,57,0
858,3,8,58,1
859,3,8,59,1
860,3,8,60,2
861,3,8,61,0
862,3,8,62,0
863,3,8,63,2
864,3,8,64,2
865,3,8,65,2
866,3,8,66,0
867,3,8,67,1
868,3,8,68,2
869,3,8,69,2
870,3,8,70,2
871,3,8,71,0
872,3,8,72,1
873,3,8,73,1
874,3,8,74,1
875,3,8,75,0
876,3,8,76,2
877,3,8,77,2
878,3,8,78,1
879,3,8,79,2
880,3,8,80,2
881,3,8,81,2
882,3,8,82,1
883,3,8,83,2
884,3,8,84,1
885,3,8,85,2
886,3,8,86,2
887,3,8,87,0
888,3,8,88,2
889,3,8,89,0
890,3,8,90,1
891,3,8,91,0
892,3,8,92,0
893,3,8,93,0
894,3,8,94,1
895,3,8,95,2
896,3,8,96,0
897,3,8,97,0
898,3,8,98,0
899,3,8,99,2
900,3,9,0,2
901,3,9,1,0
902,3,9,2,1
903,3,9,3,0
904,3,9,4,0
905,3,9,5,2
906,3,9,6,1
907,3,9,7,1
908,3,9,8,2
909,3,9,9,0
910,3,9,10,0
911,3,9,11,1
912,3,9,12,2
913,3,9,13,0
914,3,9,14,1
915,3,9,15,0
916,3,9,16,2
917,3,9,17,1
918,3,9,18,1
919,3,9,19,1
920,3,9,20,2
921,3,9,21,1
922,3,9,22,2
923,3,9,23,2
924,3,9,24,2
925,3,9,25,0
926,3,9,26,0
927,3,9,27,0
928,3,9,28,1
929,3,9,29,0
930,3,9,30,2
931,3,9,31,0
932,3,9,32,0
933,3,9,33,1
934,3,9,34,0
935,3,9,35,2
936,3,9,36,2
937,3,9,37,0
938,3,9,38,1
939,3,9,39,0
940,3,9,40,0
941,3,9,41,1
942,3,9,42,2
943,3,9,43,2
944,3,9,44,2
945,3,9,45,0
946,3,9,46,1
947,3,9,47,2
948,3,9,48,1
949,3,9,49,1
950,3,9,50,1
951,3,9,51,2
952,3,9,52,0
953,3,9,53,0
954,3,9,54,0
955,3,9,55,0
956,3,9,56,0
957,3,9,57,1
958,3,9,58,0
959,3,9,59,2
960,3,9,60,1
961,3,9,61,2
962,3,9,62,2
963,3,9,63,0
964,3,9,64,2
965,3,9,65,1
966,3,9,66,0
967,3,9,67,0
968,3,9,68,1
969,3,9,69,1
970,3,9,70,1
971,3,9,71,0
972,3,9,72,1
973,3,9,73,1
974,3,9,74,1
975,3,9,75,0
976,3,9,76,0
977,3,9,77,1
978,3,9,78,2
979,3,9,79,2
980,3,9,80,2
981,3,9,81,0
982,3,9,82,1
983,3,9,83,2
984,3,9,84,0
985,3,9,85,2
986,3,9,86,2
987,3,9,87,2
988,3,9,88,1
989,3,9,89,2
990,3,9,90,1
991,3,9,91,0
992,3,9,92,0
993,3,9,93,0
994,3,9,94,2
995,3,9,95,0
996,3,9,96,0
997,3,9,97,2
998,3,9,98,0
999,3,9,99,0
1000,4,0,0,1
1001,4,0,1,1
1002,4,0,2,2
1003,4,0,3,0
1004,4,0,4,2
1005,4,0,5,2
1006,4,0,6,3
1007,4,0,7,2
1008,4,0,8,2
1009,4,0,9,1
1010,4,0,10,2
1011,4,0,11,2
1012,4,0,12,1
1013,4,0,13,2
1014,4,0,14,1
1015,4,0,15,1
1016,4,0,16,2
1017,4,0,17,2
1018,4,0,18,2
1019,4,0,19,0
1020,4,0,20,0
1021,4,0,21,0
1022,4,0,22,3
1023,4,0,23,2
1024,4,0,24,2
1025,4,0,25,2
1026,4,0,26,2
1027,4,0,27,2
1028,4,0,28,2
1029,4,0,29,2
1030,4,0,30,2
1031,4,0,31,0
