,k,network_n,search_n,jumps
569,3,5,69,3
570,3,5,70,1
571,3,5,71,2
572,3,5,72,3
573,3,5,73,2
574,3,5,74,3
575,3,5,75,2
576,3,5,76,2
577,3,5,77,3
578,3,5,78,1
579,3,5,79,2
580,3,5,80,2
581,3,5,81,2
582,3,5,82,1
583,3,5,83,3
584,3,5,84,3
585,3,5,85,3
586,3,5,86,3
587,3,5,87,2
588,3,5,88,0
589,3,5,89,3
590,3,5,90,2
591,3,5,91,3
592,3,5,92,3
593,3,5,93,0
594,3,5,94,3
595,3,5,95,2
596,3,5,96,2
597,3,5,97,3
598,3,5,98,3
599,3,5,99,3
600,3,6,0,0
601,3,6,1,2
602,3,6,2,2
603,3,6,3,1
604,3,6,4,3
605,3,6,5,0
606,3,6,6,0
607,3,6,7,3
608,3,6,8,1
609,3,6,9,2
610,3,6,10,1
611,3,6,11,2
612,3,6,12,3
613,3,6,13,3
614,3,6,14,3
615,3,6,15,3
616,3,6,16,1
617,3,6,17,3
618,3,6,18,3
619,3,6,19,2
620,3,6,20,1
621,3,6,21,2
622,3,6,22,2
623,3,6,23,3
624,3,6,24,2
625,3,6,25,0
626,3,6,26,3
627,3,6,27,3
628,3,6,28,1
629,3,6,29,3
630,3,6,30,2
631,3,6,31,1
632,3,6,32,2
633,3,6,33,3
634,3,6,34,2
635,3,6,35,1
636,3,6,36,3
637,3,6,37,2
638,3,6,38,2
639,3,6,39,3
640,3,6,40,0
641,3,6,41,1
642,3,6,42,1
643,3,6,43,2
644,3,6,44,2
645,3,6,45,3
646,3,6,46,0
647,3,6,47,0
648,3,6,48,3
649,3,6,49,3
650,3,6,50,3
651,3,6,51,3
652,3,6,52,2
653,3,6,53,3
654,3,6,54,2
655,3,6,55,2
656,3,6,56,1
657,3,6,57,1
658,3,6,58,3
659,3,6,59,3
660,3,6,60,2
661,3,6,61,0
662,3,6,62,0
663,3,6,63,3
664,3,6,64,1
665,3,6,65,2
666,3,6,66,2
667,3,6,67,0
668,3,6,68,1
669,3,6,69,2
670,3,6,70,1
671,3,6,71,0
672,3,6,72,0
673,3,6,73,2
674,3,6,74,2
675,3,6,75,2
676,3,6,76,0
677,3,6,77,0
678,3,6,78,2
679,3,6,79,1
680,3,6,80,2
681,3,6,81,3
682,3,6,82,0
683,3,6,83,2
684,3,6,84,3
685,3,6,85,2
686,3,6,86,1
687,3,6,87,2
688,3,6,88,2
689,3,6,89,3
690,3,6,90,2
691,3,6,91,3
692,3,6,92,3
693,3,6,93,2
694,3,6,94,2
695,3,6,95,3
696,3,6,96,2
697,3,6,97,0
698,3,6,98,2
699,3,6,99,2
700,3,7,0,1
701,3,7,1,0
702,3,7,2,2
703,3,7,3,1
704,3,7,4,3
705,3,7,5,3
706,3,7,6,2
707,3,7,7,2
708,3,7,8,1
709,3,7,9,3
710,3,7,10,1
711,3,7,11,1
712,3,7,12,0
713,3,7,13,3
714,3,7,14,3
715,3,7,15,2
716,3,7,16,2
717,3,7,17,3
718,3,7,18,2
719,3,7,19,3
720,3,7,20,2
721,3,7,21,3
722,3,7,22,2
723,3,7,23,1
724,3,7,24,0
725,3,7,25,0
726,3,7,26,2
727,3,7,27,3
728,3,7,28,3
729,3,7,29,3
730,3,7,30,1
731,3,7,31,3
732,3,7,32,0
733,3,7,33,0
734,3,7,34,3
735,3,7,35,0
736,3,7,36,2
737,3,7,37,1
738,3,7,38,0
739,3,7,39,2
740,3,7,40,3
741,3,7,41,0
742,3,7,42,2
743,3,7,43,2
744,3,7,44,3
745,3,7,45,3
746,3,7,46,1
747,3,7,47,2
748,3,7,48,2
749,3,7,49,2
750,3,7,50,3
751,3,7,51,3
752,3,7,52,2
753,3,7,53,3
754,3,7,54,3
755,3,7,55,3
756,3,7,56,1
757,3,7,57,0
758,3,7,58,1
759,3,7,59,3
760,3,7,60,3
761,3,7,61,2
762,3,7,62,3
763,3,7,63,3
764,3,7,64,3
765,3,7,65,1
766,3,7,66,2
767,3,7,67,2
768,3,7,68,1
769,3,7,69,3
770,3,7,70,3
771,3,7,71,3
772,3,7,72,2
773,3,7,73,3
774,3,7,74,2
775,3,7,75,0
776,3,7,76,3
777,3,7,77,3
778,3,7,78,2
779,3,7,79,2
780,3,7,80,2
781,3,7,81,2
782,3,7,82,3
783,3,7,83,3
784,3,7,84,3
785,3,7,85,3
786,3,7,86,3
787,3,7,87,3
788,3,7,88,3
789,3,7,89,1
790,3,7,90,2
791,3,7,91,3
792,3,7,92,3
793,3,7,93,2
794,3,7,94,2
795,3,7,95,3
796,3,7,96,0
797,3,7,97,1
798,3,7,98,2
799,3,7,99,2
800,3,8,0,3
801,3,8,1,3
802,3,8,2,2
803,3,8,3,1
804,3,8,4,2
805,3,8,5,2
806,3,8,6,3
807,3,8,7,2
808,3,8,8,2
809,3,8,9,2
810,3,8,10,3
811,3,8,11,3
812,3,8,12,3
813,3,8,13,3
814,3,8,14,2
815,3,8,15,1
816,3,8,16,1
817,3,8,17,3
818,3,8,18,3
819,3,8,19,2
820,3,8,20,3
821,3,8,21,3
822,3,8,22,2
823,3,8,23,3
824,3,8,24,0
825,3,8,25,3
826,3,8,26,1
827,3,8,27,2
828,3,8,28,3
829,3,8,29,3
830,3,8,30,3
831,3,8,31,2
832,3,8,32,0
833,3,8,33,2
834,3,8,34,1
835,3,8,35,3
836,3,8,36,2
837,3,8,37,3
838,3,8,38,2
839,3,8,39,2
840,3,8,40,3
841,3,8,41,1
842,3,8,42,3
843,3,8,43,2
844,3,8,44,0
845,3,8,45,2
846,3,8,46,0
847,3,8,47,0
848,3,8,48,2
849,3,8,49,3
850,3,8,50,3
851,3,8,51,1
852,3,8,52,3
853,3,8,53,1
854,3,8,54,1
855,3,8,55,2
856,3,8,56,3
857,3,8,57,3
858,3,8,58,3
859,3,8,59,3
860,3,8,60,1
861,3,8,61,3
862,3,8,62,3
863,3,8,63,0
864,3,8,64,3
865,3,8,65,1
866,3,8,66,2
867,3,8,67,2
868,3,8,68,1
869,3,8,69,1
870,3,8,70,2
871,3,8,71,3
872,3,8,72,3
873,3,8,73,3
874,3,8,74,2
875,3,8,75,0
876,3,8,76,3
877,3,8,77,2
878,3,8,78,2
879,3,8,79,2
880,3,8,80,2
881,3,8,81,2
882,3,8,82,2
883,3,8,83,2
884,3,8,84,3
885,3,8,85,2
886,3,8,86,1
887,3,8,87,2
888,3,8,88,3
889,3,8,89,2
890,3,8,90,2
891,3,8,91,3
892,3,8,92,2
893,3,8,93,1
894,3,8,94,3
895,3,8,95,2
896,3,8,96,2
897,3,8,97,2
898,3,8,98,1
899,3,8,99,2
900,3,9,0,3
901,3,9,1,3
902,3,9,2,2
903,3,9,3,0
904,3,9,4,1
905,3,9,5,1
906,3,9,6,2
907,3,9,7,3
908,3,9,8,2
909,3,9,9,3
910,3,9,10,3
911,3,9,11,3
912,3,9,12,3
913,3,9,13,2
914,3,9,14,2
915,3,9,15,1
916,3,9,16,2
917,3,9,17,2
918,3,9,18,2
919,3,9,19,3
920,3,9,20,2
921,3,9,21,3
922,3,9,22,1
923,3,9,23,2
924,3,9,24,2
925,3,9,25,3
926,3,9,26,0
927,3,9,27,3
928,3,9,28,3
929,3,9,29,0
930,3,9,30,3
931,3,9,31,3
932,3,9,32,2
933,3,9,33,3
934,3,9,34,3
935,3,9,35,3
936,3,9,36,1
937,3,9,37,2
938,3,9,38,2
939,3,9,39,3
940,3,9,40,3
941,3,9,41,3
942,3,9,42,1
943,3,9,43,2
944,3,9,44,2
945,3,9,45,3
946,3,9,46,0
947,3,9,47,1
948,3,9,48,3
949,3,9,49,2
950,3,9,50,0
951,3,9,51,1
952,3,9,52,3
953,3,9,53,0
954,3,9,54,0
955,3,9,55,0
956,3,9,56,2
957,3,9,57,3
958,3,9,58,3
959,3,9,59,1
960,3,9,60,1
961,3,9,61,0
962,3,9,62,2
963,3,9,63,2
964,3,9,64,3
965,3,9,65,3
966,3,9,66,2
967,3,9,67,3
968,3,9,68,2
969,3,9,69,2
970,3,9,70,3
971,3,9,71,3
972,3,9,72,3
973,3,9,73,3
974,3,9,74,3
975,3,9,75,3
976,3,9,76,3
977,3,9,77,1
978,3,9,78,2
979,3,9,79,2
980,3,9,80,2
981,3,9,81,3
982,3,9,82,2
983,3,9,83,2
984,3,9,84,2
985,3,9,85,3
986,3,9,86,2
987,3,9,87,0
988,3,9,88,3
989,3,9,89,2
990,3,9,90,2
991,3,9,91,2
992,3,9,92,0
993,3,9,93,2
994,3,9,94,1
995,3,9,95,1
996,3,9,96,3
997,3,9,97,2
998,3,9,98,2
999,3,9,99,3
1000,4,0,0,2
1001,4,0,1,4
1002,4,0,2,4
1003,4,0,3,3
1004,4,0,4,2
1005,4,0,5,4
1006,4,0,6,0
1007,4,0,7,0
1008,4,0,8,0
1009,4,0,9,2
1010,4,0,10,3
1011,4,0,11,3
1012,4,0,12,2
1013,4,0,13,2
1014,4,0,14,4
1015,4,0,15,4
1016,4,0,16,1
1017,4,0,17,2
1018,4,0,18,3
1019,4,0,19,4
1020,4,0,20,2
1021,4,0,21,3
1022,4,0,22,3
1023,4,0,23,4
1024,4,0,24,3
1025,4,0,25,4
1026,4,0,26,3
1027,4,0,27,3
1028,4,0,28,2
1029,4,0,29,2
1030,4,0,30,3
1031,4,0,31,4
1032,4,0,32,2
1033,4,0,33,0
1034,4,0,34,4
1035,4,0,35,0
1036,4,0,36,3
1037,4,0,37,4
1038,4,0,38,2
1039,4,0,39,1
1040,4,0,40,3
1041,4,0,41,3
1042,4,0,42,2
1043,4,0,43,3
1044,4,0,44,4
1045,4,0,45,4
1046,4,0,46,3
1047,4,0,47,2
1048,4,0,48,2
1049,4,0,49,2
1050,4,0,50,3
1051,4,0,51,3
1052,4,0,52,3
1053,4,0,53,4
1054,4,0,54,3
1055,4,0,55,3
1056,4,0,56,3
1057,4,0,57,2
1058,4,0,58,4
1059,4,0,59,0
1060,4,0,60,1
1061,4,0,61,3
1062,4,0,62,3
1063,4,0,63,3
1064,4,0,64,2
1065,4,0,65,3
1066,4,0,66,2
1067,4,0,67,3
1068,4,0,68,3
1069,4,0,69,2
1070,4,0,70,4
1071,4,0,71,3
1072,4,0,72,3
1073,4,0,73,0
1074,4,0,74,4
1075,4,0,75,3
1076,4,0,76,2
1077,4,0,77,3
1078,4,0,78,4
1079,4,0,79,4
1080,4,0,80,1
1081,4,0,81,3
1082,4,0,82,3
1083,4,0,83,3
1084,4,0,84,3
1085,4,0,85,0
1086,4,0,86,0
1087,4,0,87,3
1088,4,0,88,3
1089,4,0,89,4
1090,4,0,90,3
1091,4,0,91,3
1092,4,0,92,3
1093,4,0,93,4
1094,4,0,94,4
1095,4,0,95,3
1096,4,0,96,3
1097,4,0,97,3
1098,4,0,98,3
1099,4,0,99,4
1100,4,1,0,3
1101,4,1,1,2
1102,4,1,2,2
1103,4,1,3,3
1104,4,1,4,0
1105,4,1,5,1
1106,4,1,6,2
1107,4,1,7,2
1108,4,1,8,3
1109,4,1,9,4
1110,4,1,10,3
1111,4,1,11,2
1112,4,1,12,2
1113,4,1,13,3
1114,4,1,14,4
1115,4,1,15,2
1116,4,1,16,3
1117,4,1,17,3
1118,4,1,18,4
1119,4,1,19,3
1120,4,1,20,2
1121,4,1,21,3
1122,4,1,22,0
1123,4,1,23,3
1124,4,1,24,3
1125,4,1,25,4
1126,4,1,26,2
1127,4,1,27,3
