,k,network_n,search_n,jumps
848,3,8,48,0
849,3,8,49,1
850,3,8,50,1
851,3,8,51,1
852,3,8,52,0
853,3,8,53,0
854,3,8,54,1
855,3,8,55,1
856,3,8,56,1
857,3,8,57,0
858,3,8,58,0
859,3,8,59,0
860,3,8,60,1
861,3,8,61,1
862,3,8,62,0
863,3,8,63,0
864,3,8,64,0
865,3,8,65,0
866,3,8,66,0
867,3,8,67,1
868,3,8,68,0
869,3,8,69,1
870,3,8,70,0
871,3,8,71,0
872,3,8,72,0
873,3,8,73,0
874,3,8,74,1
875,3,8,75,1
876,3,8,76,1
877,3,8,77,0
878,3,8,78,1
879,3,8,79,0
880,3,8,80,1
881,3,8,81,1
882,3,8,82,0
883,3,8,83,0
884,3,8,84,1
885,3,8,85,1
886,3,8,86,0
887,3,8,87,1
888,3,8,88,1
889,3,8,89,0
890,3,8,90,1
891,3,8,91,1
892,3,8,92,1
893,3,8,93,1
894,3,8,94,1
895,3,8,95,1
896,3,8,96,0
897,3,8,97,1
898,3,8,98,0
899,3,8,99,0
900,3,9,0,1
901,3,9,1,0
902,3,9,2,1
903,3,9,3,1
904,3,9,4,0
905,3,9,5,0
906,3,9,6,1
907,3,9,7,0
908,3,9,8,1
909,3,9,9,1
910,3,9,10,0
911,3,9,11,0
912,3,9,12,1
913,3,9,13,1
914,3,9,14,0
915,3,9,15,1
916,3,9,16,1
917,3,9,17,1
918,3,9,18,0
919,3,9,19,1
920,3,9,20,0
921,3,9,21,1
922,3,9,22,1
923,3,9,23,1
924,3,9,24,0
925,3,9,25,1
926,3,9,26,1
927,3,9,27,1
928,3,9,28,1
929,3,9,29,0
930,3,9,30,1
931,3,9,31,0
932,3,9,32,0
933,3,9,33,0
934,3,9,34,0
935,3,9,35,0
936,3,9,36,0
937,3,9,37,0
938,3,9,38,0
939,3,9,39,0
940,3,9,40,0
941,3,9,41,0
942,3,9,42,0
943,3,9,43,1
944,3,9,44,1
945,3,9,45,1
946,3,9,46,0
947,3,9,47,0
948,3,9,48,0
949,3,9,49,0
950,3,9,50,0
951,3,9,51,1
952,3,9,52,0
953,3,9,53,0
954,3,9,54,1
955,3,9,55,0
956,3,9,56,1
957,3,9,57,0
958,3,9,58,1
959,3,9,59,0
960,3,9,60,0
961,3,9,61,1
962,3,9,62,1
963,3,9,63,1
964,3,9,64,0
965,3,9,65,1
966,3,9,66,0
967,3,9,67,1
968,3,9,68,0
969,3,9,69,0
970,3,9,70,1
971,3,9,71,1
972,3,9,72,0
973,3,9,73,0
974,3,9,74,0
975,3,9,75,1
976,3,9,76,1
977,3,9,77,1
978,3,9,78,0
979,3,9,79,1
980,3,9,80,1
981,3,9,81,1
982,3,9,82,1
983,3,9,83,1
984,3,9,84,1
985,3,9,85,1
986,3,9,86,1
987,3,9,87,1
988,3,9,88,1
989,3,9,89,0
990,3,9,90,1
991,3,9,91,1
992,3,9,92,0
993,3,9,93,1
994,3,9,94,0
995,3,9,95,0
996,3,9,96,1
997,3,9,97,0
998,3,9,98,0
999,3,9,99,1
1000,4,0,0,1
1001,4,0,1,1
1002,4,0,2,0
1003,4,0,3,2
1004,4,0,4,2
1005,4,0,5,2
1006,4,0,6,0
1007,4,0,7,2
1008,4,0,8,1
1009,4,0,9,3
1010,4,0,10,2
1011,4,0,11,2
1012,4,0,12,2
1013,4,0,13,2
1014,4,0,14,1
1015,4,0,15,3
1016,4,0,16,1
1017,4,0,17,2
1018,4,0,18,1
1019,4,0,19,2
1020,4,0,20,0
1021,4,0,21,1
1022,4,0,22,2
1023,4,0,23,2
1024,4,0,24,2
1025,4,0,25,0
1026,4,0,26,3
1027,4,0,27,2
1028,4,0,28,2
1029,4,0,29,2
1030,4,0,30,2
1031,4,0,31,0
1032,4,0,32,3
1033,4,0,33,2
1034,4,0,34,3
1035,4,0,35,0
1036,4,0,36,0
1037,4,0,37,2
1038,4,0,38,2
1039,4,0,39,2
1040,4,0,40,3
1041,4,0,41,3
1042,4,0,42,2
1043,4,0,43,2
1044,4,0,44,3
1045,4,0,45,2
1046,4,0,46,3
1047,4,0,47,0
1048,4,0,48,0
1049,4,0,49,3
1050,4,0,50,2
1051,4,0,51,2
1052,4,0,52,0
1053,4,0,53,1
1054,4,0,54,2
1055,4,0,55,2
1056,4,0,56,0
1057,4,0,57,0
1058,4,0,58,2
1059,4,0,59,0
1060,4,0,60,1
1061,4,0,61,2
1062,4,0,62,0
1063,4,0,63,2
1064,4,0,64,0
1065,4,0,65,1
1066,4,0,66,3
1067,4,0,67,1
1068,4,0,68,3
